volume,surface,width,euler,,,width,euler,,,
0.415,0.174,0.003 ,-0.0006 ,,,0.001 ,-0.0002 ,,,4.21222E-12
0.376,0.172,0.003 ,-0.0003 ,,,0.003 ,-0.0006 ,,,
0.514,0.171,0.001 ,-0.0006 ,,,0.001 ,-0.0005 ,,,
0.417,0.169,0.003 ,-0.0004 ,,,0.001 ,-0.0003 ,,,
0.348,0.169,0.001 ,-0.0002 ,,,0.001 ,-0.0003 ,,,
0.407,0.168,0.003 ,-0.0003 ,,,0.001 ,-0.0001 ,,,
0.434,0.167,0.003 ,-0.0005 ,,,0.001 ,-0.0001 ,,,
0.45,0.165,0.002 ,-0.0003 ,,,0.001 ,0.0000 ,,,
0.435,0.165,0.003 ,-0.0003 ,,,0.002 ,0.0004 ,,,
0.421,0.165,0.003 ,-0.0003 ,,,0.001 ,-0.0004 ,,,
0.439,0.162,0.002 ,-0.0002 ,,,0.002 ,-0.0002 ,,,
0.454,0.16,0.002 ,-0.0003 ,,,0.002 ,-0.0002 ,,,
0.457,0.16,0.003 ,-0.0003 ,,,0.001 ,-0.0002 ,,,
0.411,0.159,0.003 ,-0.0002 ,,,0.001 ,-0.0003 ,,,
0.409,0.159,0.003 ,-0.0005 ,,,0.002 ,-0.0001 ,,,
0.453,0.158,0.002 ,-0.0005 ,,,0.001 ,-0.0001 ,,,
0.421,0.158,0.003 ,-0.0003 ,,,0.001 ,0.0000 ,,,
0.401,0.157,0.003 ,-0.0002 ,,,0.001 ,0.0002 ,,,
0.439,0.156,0.002 ,-0.0003 ,,,0.001 ,-0.0004 ,,,
0.454,0.156,0.002 ,-0.0004 ,,,0.002 ,-0.0003 ,,,
0.418,0.156,0.003 ,-0.0002 ,,,0.001 ,-0.0006 ,,,
0.456,0.155,0.002 ,-0.0004 ,,,0.002 ,0.0000 ,,,
0.352,0.155,0.003 ,-0.0001 ,,,0.002 ,-0.0002 ,,,
0.34,0.155,0.003 ,-0.0001 ,,,0.002 ,-0.0001 ,,,
0.401,0.154,0.003 ,-0.0001 ,,,0.001 ,-0.0002 ,,,
0.398,0.153,0.002 ,-0.0003 ,,,0.001 ,-0.0003 ,,,
0.382,0.153,0.003 ,-0.0002 ,,,0.002 ,-0.0003 ,,,
0.402,0.152,0.002 ,-0.0002 ,,,0.001 ,-0.0001 ,,,
0.45,0.152,0.002 ,-0.0004 ,,,0.003 ,-0.0001 ,,,
0.421,0.152,0.003 ,-0.0001 ,,,0.002 ,-0.0003 ,,,
0.42,0.151,0.002 ,-0.0002 ,,,0.001 ,-0.0003 ,,,
0.447,0.151,0.003 ,0.0000 ,,,0.002 ,-0.0002 ,,,
0.363,0.151,0.003 ,-0.0001 ,,,0.002 ,-0.0004 ,,,
0.437,0.151,0.002 ,-0.0003 ,,,0.001 ,-0.0003 ,,,
0.475,0.151,0.002 ,-0.0002 ,,,0.003 ,-0.0002 ,,,
0.487,0.151,0.002 ,-0.0002 ,,,0.001 ,-0.0008 ,,,
0.409,0.15,0.003 ,-0.0002 ,,,0.002 ,-0.0003 ,,,
0.469,0.15,0.002 ,-0.0002 ,,,0.000 ,-0.0001 ,,,
0.353,0.15,0.003 ,-0.0002 ,,,0.000 ,-0.0001 ,,,
0.503,0.15,0.001 ,-0.0004 ,,,0.001 ,-0.0002 ,,,
0.48,0.149,0.002 ,-0.0003 ,,,0.001 ,-0.0002 ,,,
0.475,0.149,0.003 ,-0.0003 ,,,0.001 ,0.0000 ,,,
0.428,0.148,0.002 ,-0.0003 ,,,0.000 ,-0.0001 ,,,
0.47,0.148,0.002 ,-0.0003 ,,,0.002 ,-0.0002 ,,,
0.478,0.148,0.002 ,-0.0004 ,,,0.000 ,0.0000 ,,,
0.473,0.148,0.003 ,-0.0002 ,,,0.000 ,-0.0001 ,,,
0.43,0.148,0.003 ,-0.0002 ,,,0.001 ,-0.0005 ,,,
0.352,0.148,0.003 ,0.0000 ,,,0.001 ,-0.0003 ,,,
0.448,0.147,0.002 ,-0.0001 ,,,0.000 ,-0.0002 ,,,
0.397,0.146,0.002 ,-0.0002 ,,,0.002 ,-0.0002 ,,,
0.417,0.146,0.002 ,-0.0001 ,,,0.001 ,-0.0003 ,,,
0.5,0.146,0.002 ,-0.0003 ,,,0.001 ,-0.0003 ,,,
0.486,0.146,0.002 ,-0.0002 ,,,0.001 ,-0.0001 ,,,
0.452,0.145,0.002 ,-0.0004 ,,,0.003 ,-0.0006 ,,,
0.453,0.145,0.002 ,-0.0003 ,,,0.002 ,0.0000 ,,,
0.475,0.145,0.002 ,-0.0002 ,,,0.002 ,-0.0003 ,,,
0.409,0.145,0.003 ,-0.0002 ,,,0.002 ,-0.0004 ,,,
0.473,0.145,0.001 ,-0.0003 ,,,0.001 ,-0.0006 ,,,
0.417,0.145,0.002 ,-0.0001 ,,,0.001 ,-0.0002 ,,,
0.441,0.144,0.002 ,-0.0001 ,,,0.000 ,-0.0001 ,,,
0.421,0.144,0.002 ,-0.0002 ,,,0.002 ,-0.0003 ,,,
0.422,0.144,0.002 ,-0.0002 ,,,0.002 ,-0.0002 ,,,
0.474,0.144,0.002 ,-0.0002 ,,,0.000 ,-0.0003 ,,,
0.435,0.143,0.002 ,-0.0002 ,,,0.002 ,-0.0001 ,,,
0.499,0.143,0.001 ,-0.0003 ,,,0.000 ,0.0000 ,,,
0.494,0.143,0.002 ,-0.0004 ,,,0.002 ,-0.0002 ,,,
0.419,0.142,0.002 ,-0.0002 ,,,0.000 ,-0.0001 ,,,
0.473,0.142,0.002 ,-0.0001 ,,,0.001 ,-0.0002 ,,,
0.369,0.142,0.003 ,0.0000 ,,,0.001 ,-0.0003 ,,,
0.483,0.141,0.002 ,-0.0003 ,,,0.001 ,0.0000 ,,,
0.455,0.141,0.002 ,-0.0002 ,,,0.001 ,-0.0005 ,,,
0.439,0.141,0.002 ,-0.0002 ,,,0.000 ,-0.0002 ,,,
0.473,0.141,0.002 ,-0.0002 ,,,0.000 ,-0.0002 ,,,
0.314,0.14,0.003 ,0.0000 ,,,0.001 ,-0.0001 ,,,
0.366,0.14,0.002 ,-0.0002 ,,,0.001 ,-0.0002 ,,,
0.437,0.14,0.002 ,-0.0003 ,,,0.001 ,-0.0001 ,,,
0.429,0.14,0.002 ,-0.0001 ,,,0.000 ,-0.0001 ,,,
0.542,0.14,0.001 ,-0.0003 ,,,0.000 ,-0.0003 ,,,
0.371,0.14,0.003 ,-0.0002 ,,,0.001 ,-0.0003 ,,,
0.5,0.14,0.002 ,-0.0001 ,,,0.001 ,-0.0005 ,,,
0.475,0.139,0.002 ,-0.0002 ,,,0.002 ,-0.0003 ,,,
0.488,0.138,0.002 ,-0.0003 ,,,0.003 ,-0.0003 ,,,
0.459,0.138,0.002 ,-0.0001 ,,,0.000 ,0.0000 ,,,
0.477,0.138,0.002 ,-0.0002 ,,,0.000 ,-0.0002 ,,,
0.409,0.138,0.002 ,-0.0001 ,,,0.001 ,-0.0001 ,,,
0.427,0.137,0.002 ,-0.0002 ,,,0.001 ,-0.0001 ,,,
0.42,0.137,0.002 ,-0.0002 ,,,0.001 ,-0.0001 ,,,
0.561,0.137,0.001 ,-0.0002 ,,,0.002 ,-0.0002 ,,,
0.5,0.137,0.001 ,-0.0003 ,,,0.001 ,-0.0006 ,,,
0.495,0.137,0.002 ,-0.0001 ,,,0.002 ,-0.0001 ,,,
0.526,0.136,0.001 ,-0.0002 ,,,0.001 ,-0.0003 ,,,
0.428,0.136,0.002 ,-0.0002 ,,,0.001 ,-0.0001 ,,,
0.356,0.136,0.003 ,-0.0001 ,,,0.001 ,-0.0002 ,,,
0.416,0.136,0.002 ,-0.0001 ,,,0.001 ,0.0000 ,,,
0.491,0.135,0.001 ,-0.0003 ,,,0.000 ,0.0000 ,,,
0.453,0.135,0.001 ,-0.0002 ,,,0.001 ,-0.0001 ,,,
0.513,0.135,0.001 ,-0.0003 ,,,0.000 ,-0.0001 ,,,
0.506,0.135,0.002 ,-0.0002 ,,,0.001 ,-0.0004 ,,,
0.412,0.135,0.002 ,-0.0001 ,,,0.002 ,-0.0001 ,,,
0.338,0.134,0.003 ,0.0000 ,,,0.001 ,-0.0002 ,,,
0.408,0.134,0.002 ,-0.0002 ,,,0.001 ,-0.0002 ,,,
0.514,0.134,0.002 ,-0.0002 ,,,0.001 ,-0.0005 ,,,
0.41,0.134,0.002 ,-0.0002 ,,,0.002 ,-0.0002 ,,,
0.494,0.134,0.001 ,-0.0002 ,,,0.002 ,0.0000 ,,,
0.446,0.134,0.001 ,-0.0001 ,,,0.002 ,-0.0001 ,,,
0.473,0.133,0.002 ,-0.0002 ,,,0.001 ,-0.0002 ,,,
0.381,0.133,0.002 ,-0.0001 ,,,0.001 ,0.0000 ,,,
0.513,0.131,0.002 ,-0.0001 ,,,0.000 ,-0.0001 ,,,
0.485,0.131,0.002 ,-0.0002 ,,,0.002 ,0.0000 ,,,
0.499,0.131,0.001 ,-0.0002 ,,,0.000 ,-0.0001 ,,,
0.532,0.131,0.002 ,-0.0002 ,,,0.001 ,-0.0002 ,,,
0.454,0.131,0.002 ,-0.0002 ,,,0.001 ,-0.0002 ,,,
0.407,0.13,0.002 ,0.0000 ,,,0.002 ,0.0006 ,,,
0.397,0.13,0.002 ,0.0000 ,,,0.001 ,-0.0004 ,,,
0.486,0.129,0.001 ,-0.0002 ,,,0.001 ,-0.0003 ,,,
0.481,0.129,0.001 ,-0.0002 ,,,0.001 ,-0.0006 ,,,
0.456,0.129,0.002 ,-0.0002 ,,,0.001 ,-0.0006 ,,,
0.379,0.129,0.002 ,-0.0001 ,,,0.000 ,-0.0005 ,,,
0.397,0.129,0.002 ,-0.0001 ,,,0.002 ,-0.0004 ,,,
0.469,0.129,0.001 ,-0.0002 ,,,0.001 ,-0.0005 ,,,
0.49,0.128,0.001 ,-0.0002 ,,,0.001 ,-0.0006 ,,,
0.393,0.128,0.001 ,-0.0001 ,,,0.001 ,-0.0006 ,,,
0.419,0.127,0.002 ,-0.0001 ,,,0.001 ,-0.0004 ,,,
0.478,0.126,0.001 ,-0.0002 ,,,0.000 ,0.0002 ,,,
0.505,0.126,0.001 ,-0.0001 ,,,0.001 ,-0.0005 ,,,
0.4,0.126,0.002 ,-0.0001 ,,,0.001 ,-0.0005 ,,,
0.463,0.125,0.001 ,0.0000 ,,,0.001 ,-0.0002 ,,,
0.515,0.125,0.002 ,-0.0001 ,,,0.001 ,-0.0001 ,,,
0.478,0.124,0.001 ,-0.0002 ,,,0.001 ,-0.0003 ,,,
0.518,0.124,0.002 ,-0.0001 ,,,0.000 ,0.0000 ,,,
0.567,0.123,0.001 ,-0.0001 ,,,0.002 ,-0.0003 ,,,
0.452,0.123,0.001 ,-0.0003 ,,,0.001 ,-0.0002 ,,,
0.534,0.123,0.001 ,-0.0002 ,,,0.000 ,-0.0003 ,,,
0.444,0.123,0.001 ,-0.0001 ,,,0.000 ,-0.0001 ,,,
0.462,0.122,0.001 ,0.0000 ,,,0.000 ,-0.0004 ,,,
0.504,0.122,0.000 ,-0.0002 ,,,0.002 ,-0.0003 ,,,
0.483,0.122,0.001 ,-0.0001 ,,,0.000 ,0.0000 ,,,
0.54,0.122,0.001 ,-0.0002 ,,,0.002 ,-0.0002 ,,,
0.41,0.121,0.001 ,-0.0001 ,,,0.001 ,-0.0002 ,,,
0.576,0.12,0.001 ,-0.0002 ,,,0.001 ,-0.0003 ,,,
0.499,0.119,0.001 ,-0.0002 ,,,0.000 ,-0.0001 ,,,
0.487,0.119,0.001 ,0.0000 ,,,0.001 ,-0.0003 ,,,
0.419,0.118,0.001 ,-0.0001 ,,,0.000 ,-0.0001 ,,,
0.645,0.118,0.001 ,-0.0002 ,,,0.001 ,-0.0001 ,,,
0.458,0.117,0.001 ,-0.0001 ,,,0.000 ,-0.0004 ,,,
0.635,0.115,0.000 ,0.0000 ,,,0.001 ,-0.0001 ,,,
0.487,0.115,0.001 ,-0.0002 ,,,0.001 ,-0.0004 ,,,
0.479,0.114,0.001 ,-0.0001 ,,,0.002 ,-0.0002 ,,,
0.401,0.114,0.002 ,-0.0001 ,,,0.002 ,0.0000 ,,,
0.483,0.114,0.001 ,-0.0001 ,,,0.002 ,-0.0002 ,,,
0.479,0.114,0.001 ,-0.0001 ,,,0.001 ,-0.0003 ,,,
0.548,0.114,0.001 ,-0.0001 ,,,0.001 ,-0.0003 ,,,
0.447,0.113,0.001 ,-0.0001 ,,,0.000 ,0.0000 ,,,
0.588,0.112,0.001 ,-0.0002 ,,,0.002 ,-0.0001 ,,,
0.403,0.112,0.001 ,-0.0001 ,,,0.001 ,-0.0004 ,,,
0.551,0.111,0.001 ,-0.0001 ,,,0.001 ,-0.0001 ,,,
0.44,0.111,0.001 ,-0.0001 ,,,0.000 ,-0.0003 ,,,
0.514,0.111,0.001 ,-0.0001 ,,,0.002 ,-0.0002 ,,,
0.535,0.11,0.001 ,-0.0001 ,,,0.002 ,-0.0001 ,,,
0.412,0.11,0.001 ,-0.0001 ,,,0.002 ,-0.0002 ,,,
0.466,0.11,0.002 ,-0.0001 ,,,0.000 ,-0.0001 ,,,
0.538,0.109,0.001 ,-0.0002 ,,,0.001 ,-0.0001 ,,,
0.412,0.109,0.002 ,-0.0001 ,,,0.001 ,-0.0005 ,,,
0.683,0.108,0.001 ,-0.0001 ,,,0.000 ,0.0000 ,,,
0.519,0.108,0.001 ,0.0000 ,,,0.002 ,-0.0002 ,,,
0.538,0.107,0.001 ,-0.0001 ,,,0.001 ,-0.0003 ,,,
0.518,0.107,0.002 ,-0.0001 ,,,0.001 ,-0.0003 ,,,
0.466,0.105,0.001 ,0.0000 ,,,0.001 ,-0.0004 ,,,
0.416,0.105,0.001 ,0.0000 ,,,0.001 ,-0.0002 ,,,
0.537,0.104,0.001 ,-0.0001 ,,,0.002 ,-0.0004 ,,,
0.62,0.103,0.000 ,-0.0001 ,,,0.000 ,0.0000 ,,,
0.382,0.103,0.001 ,-0.0001 ,,,0.000 ,-0.0001 ,,,
0.514,0.103,0.001 ,0.0000 ,,,0.001 ,-0.0005 ,,,
0.48,0.103,0.001 ,0.0000 ,,,0.001 ,-0.0002 ,,,
0.534,0.101,0.000 ,-0.0001 ,,,0.002 ,-0.0004 ,,,
0.675,0.1,0.001 ,-0.0001 ,,,0.002 ,-0.0002 ,,,
0.581,0.1,0.001 ,-0.0001 ,,,0.002 ,0.0000 ,,,
0.469,0.1,0.001 ,0.0000 ,,,0.001 ,-0.0004 ,,,
0.428,0.1,0.001 ,-0.0001 ,,,0.001 ,-0.0001 ,,,
0.464,0.098,0.001 ,0.0000 ,,,0.001 ,-0.0003 ,,,
0.373,0.098,0.001 ,0.0000 ,,,0.001 ,0.0000 ,,,
0.679,0.097,0.001 ,-0.0001 ,,,0.002 ,-0.0004 ,,,
0.358,0.096,0.001 ,-0.0001 ,,,0.000 ,-0.0003 ,,,
0.662,0.094,0.000 ,-0.0001 ,,,0.002 ,-0.0001 ,,,
0.602,0.094,0.001 ,-0.0001 ,,,0.001 ,-0.0002 ,,,
0.367,0.094,0.001 ,0.0000 ,,,0.001 ,-0.0002 ,,,
0.403,0.091,0.001 ,0.0000 ,,,0.001 ,0.0000 ,,,
0.302,0.091,0.001 ,0.0000 ,,,0.000 ,-0.0001 ,,,
0.373,0.09,0.001 ,0.0000 ,,,0.001 ,-0.0003 ,,,
0.436,0.09,0.001 ,0.0000 ,,,0.001 ,-0.0003 ,,,
0.623,0.085,0.001 ,0.0000 ,,,0.000 ,-0.0003 ,,,
0.483,0.084,0.000 ,0.0000 ,,,0.001 ,0.0000 ,,,
0.625,0.083,0.000 ,0.0000 ,,,0.001 ,-0.0001 ,,,
0.794,0.081,0.001 ,0.0002 ,,,0.001 ,-0.0002 ,,,
0.65,0.08,0.000 ,0.0000 ,,,0.000 ,-0.0002 ,,,
0.489,0.078,0.001 ,0.0001 ,,,0.001 ,-0.0003 ,,,
0.854,0.076,0.002 ,0.0001 ,,,0.001 ,-0.0001 ,,,
0.692,0.072,0.001 ,0.0001 ,,,0.000 ,-0.0002 ,,,
0.725,0.072,0.000 ,0.0000 ,,,0.001 ,-0.0001 ,,,
0.862,0.046,0.000 ,0.0000 ,,,0.002 ,-0.0003 ,,,
